iter	Passed	Remaining
0	1	115
1	2	101
2	2	95
3	3	87
4	4	85
5	5	83
6	6	81
7	7	81
8	7	80
9	8	79
10	9	77
11	10	76
12	11	75
13	12	74
14	13	74
15	14	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	67
21	18	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	27	64
30	28	63
31	29	62
32	30	61
33	30	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	39	49
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
